Country Name,Country Code,2019
Afghanistan,AFG,507.103431871987
Angola,AGO,2790.72661520665
Albania,ALB,5353.2448564014
Andorra,AND,40886.3911648431
Arab World,ARB,6584.74024069285
United Arab Emirates,ARE,43103.3230583165
Argentina,ARG,9912.28180859803
Armenia,ARM,4622.733493286711
Antigua and Barbuda,ATG,17112.8211347326
Australia,AUS,55060.3261005013
Austria,AUT,50137.6627762476
Azerbaijan,AZE,4793.58701966989
Burundi,BDI,261.247472515742
Belgium,BEL,46420.6637668061
Benin,BEN,1219.43267185875
Burkina Faso,BFA,786.895631290168
Bangladesh,BGD,1855.7398240804603
Bulgaria,BGR,9828.148514781391
Bahrain,BHR,23503.977126673
"Bahamas, The",BHS,34863.7420984795
Bosnia and Herzegovina,BIH,6108.51069581338
Belarus,BLR,6663.29529282582
Belize,BLZ,4815.1637107951
Bermuda,BMU,117089.286273037
Bolivia,BOL,3552.0687602631
Brazil,BRA,8717.18627810819
Barbados,BRB,18148.2449264001
Brunei Darussalam,BRN,31086.751118802797
Bhutan,BTN,3316.1757135008397
Botswana,BWA,7961.32518123885
Central African Republic,CAF,467.90744063633497
Canada,CAN,46194.7252255167
Central Europe and the Baltics,CEB,16300.7920722546
Switzerland,CHE,81993.72712595
Chile,CHL,14896.453866578899
China,CHN,10261.6792453621
Cote d'Ivoire,CIV,2276.33327906444
Cameroon,CMR,1507.45020591288
"Congo, Dem. Rep.",COD,580.7168672077449
"Congo, Rep.",COG,2279.96913053355
Colombia,COL,6428.676205627679
Comoros,COM,1370.14820676715
Cabo Verde,CPV,3603.7817930451397
Costa Rica,CRI,12243.811426760702
Caribbean small states,CSS,10500.9719018527
Curacao,CUW,19689.13982339
Cyprus,CYP,27858.3709958327
Czech Republic,CZE,23494.5962002944
Germany,DEU,46445.2491012508
Djibouti,DJI,3414.92486968779
Dominica,DMA,8110.56851191655
Denmark,DNK,60170.3426365069
Dominican Republic,DOM,8282.11635935324
Algeria,DZA,3973.96407191565
East Asia & Pacific (excluding high income),EAP,8222.276872847759
Early-demographic dividend,EAR,3644.0145979348104
East Asia & Pacific,EAS,11530.1381346129
Europe & Central Asia (excluding high income),ECA,8133.26084670603
Europe & Central Asia,ECS,24744.1402883946
Ecuador,ECU,6183.823824821729
"Egypt, Arab Rep.",EGY,3019.20582861756
Euro area,EMU,38984.6859895145
Spain,ESP,29600.3782526602
Estonia,EST,23723.306112847997
Ethiopia,ETH,855.7608622808381
European Union,EUU,34918.498374970695
Fragile and conflict affected situations,FCS,2228.2552446227696
Finland,FIN,48782.7884755091
Fiji,FJI,6175.88872032104
France,FRA,40493.9285720456
Gabon,GAB,7767.0134044078795
United Kingdom,GBR,42330.117537005
Georgia,GEO,4697.7045759469
Ghana,GHA,2202.11556738065
Guinea,GIN,962.839908587778
"Gambia, The",GMB,777.811932084008
Guinea-Bissau,GNB,697.294926856786
Equatorial Guinea,GNQ,8131.92388810912
Greece,GRC,19582.5359794936
Grenada,GRD,10808.6721222084
Guatemala,GTM,4619.98525821971
Guyana,GUY,6609.58642503371
High income,HIC,44617.476530539905
"Hong Kong SAR, China",HKG,48713.4737481561
Honduras,HND,2574.91219067443
Heavily indebted poor countries (HIPC),HPC,976.741808708116
Croatia,HRV,14936.100547343001
Haiti,HTI,1272.4909246734
Hungary,HUN,16731.8215139051
IBRD only,IBD,6561.9942865945495
IDA & IBRD total,IBT,5228.54414234076
IDA total,IDA,1388.82814141165
IDA blend,IDB,1765.6634650645
Indonesia,IDN,4135.569262815539
IDA only,IDX,1200.91860733875
India,IND,2099.59904810855
Ireland,IRL,78660.9564629603
Iraq,IRQ,5955.109010368161
Iceland,ISL,66944.8330769825
Israel,ISR,43592.0835823234
Italy,ITA,33228.2366803707
Jamaica,JAM,5582.263777552111
Jordan,JOR,4405.48841230824
Japan,JPN,40246.8801284164
Kazakhstan,KAZ,9812.39037613835
Kenya,KEN,1816.5469164389
Kyrgyz Republic,KGZ,1309.3929916551199
Cambodia,KHM,1643.12138876539
Kiribati,KIR,1655.07883905984
St. Kitts and Nevis,KNA,19934.974532392902
"Korea, Rep.",KOR,31846.2182324258
Kuwait,KWT,32000.448469157796
Latin America & Caribbean (excluding high income),LAC,8390.06292074217
Lao PDR,LAO,2534.89827991125
Lebanon,LBN,7583.69472170648
Liberia,LBR,621.892953622715
Libya,LBY,7685.9492665300295
St. Lucia,LCA,11611.4154473966
Latin America & Caribbean,LCN,8869.894814333871
Least developed countries: UN classification,LDC,1079.20461356443
Low income,LIC,810.094853446518
Sri Lanka,LKA,3853.08369288942
Lower middle income,LMC,2174.4397970111104
Low & middle income,LMY,5080.87769439704
Lesotho,LSO,1118.13128380194
Late-demographic dividend,LTE,9999.48841965926
Lithuania,LTU,19601.8908343885
Luxembourg,LUX,114704.59417086301
Latvia,LVA,17828.8946571856
"Macao SAR, China",MAC,84096.39631120651
Morocco,MAR,3204.0950031329803
Moldova,MDA,4503.516985388471
Madagascar,MDG,523.359064460847
Maldives,MDV,10626.513402239001
Middle East & North Africa,MEA,7991.12900461805
Mexico,MEX,9946.03382879198
Middle income,MIC,5573.244107201341
North Macedonia,MKD,6022.216179395739
Mali,MLI,879.008010446655
Malta,MLT,29820.6032474099
Myanmar,MMR,1407.81314341043
Montenegro,MNE,8908.934792467671
Mongolia,MNG,4339.843279250271
Mozambique,MOZ,503.570772675202
Mauritania,MRT,1679.4448730040801
Mauritius,MUS,11099.240283568799
Malawi,MWI,411.552340423602
Malaysia,MYS,11414.206976520802
North America,NAC,63344.0775191408
Namibia,NAM,4957.458222264079
Niger,NER,553.89505038138
Nigeria,NGA,2229.85869624463
Nicaragua,NIC,1912.9037453786898
Netherlands,NLD,52331.3167277797
Norway,NOR,75419.63486880889
Nepal,NPL,1071.0507605540402
Nauru,NRU,9396.98196681072
New Zealand,NZL,42084.3533748088
OECD members,OED,39485.894203292795
Oman,OMN,15343.062004310601
Other small states,OSS,13778.293513518602
Pakistan,PAK,1284.70204090039
Panama,PAN,15731.0160348471
Peru,PER,6977.695783553821
Philippines,PHL,3485.08421835861
Palau,PLW,14901.983531407901
Papua New Guinea,PNG,2829.1703089683697
Poland,POL,15692.507025556299
Pre-demographic dividend,PRE,1485.6495846225198
Puerto Rico,PRI,32873.7192730424
Portugal,PRT,23252.0585181211
Paraguay,PRY,5414.79913793258
Pacific island small states,PSS,4264.66741440106
Post-demographic dividend,PST,45618.886156837405
Qatar,QAT,62088.0618276987
Romania,ROU,12919.529644190801
Russian Federation,RUS,11584.995382610401
Rwanda,RWA,820.0252416581591
South Asia,SAS,1956.57592140193
Saudi Arabia,SAU,23139.798656121402
Sudan,SDN,441.505603374484
Senegal,SEN,1446.8309649940802
Singapore,SGP,65233.28243923019
Solomon Islands,SLB,2373.6324704257604
Sierra Leone,SLE,527.5336343991111
El Salvador,SLV,4187.2500311069
Serbia,SRB,7411.83611634734
Sub-Saharan Africa (excluding high income),SSA,1583.9260646204502
Sub-Saharan Africa,SSF,1596.21373429876
Small states,SST,12615.4658503025
Sao Tome and Principe,STP,1946.6436137008602
Suriname,SUR,6359.833614427371
Slovak Republic,SVK,19266.2754990139
Slovenia,SVN,25946.1821852127
Sweden,SWE,51615.0206514946
Eswatini,SWZ,3894.67980685427
Seychelles,SYC,17448.2702926831
Turks and Caicos Islands,TCA,31353.3293184258
Chad,TCD,709.5403101385331
East Asia & Pacific (IDA & IBRD countries),TEA,8308.522906289309
Europe & Central Asia (IDA & IBRD countries),TEC,9017.27828722879
Togo,TGO,679.290249091295
Thailand,THA,7806.74221105532
Tajikistan,TJK,870.787589323223
Latin America & the Caribbean (IDA & IBRD countries),TLA,8702.13746386907
Timor-Leste,TLS,1560.5098216018803
Tonga,TON,4903.15290276599
South Asia (IDA & IBRD),TSA,1956.57592140193
Sub-Saharan Africa (IDA & IBRD countries),TSS,1596.21373429876
Trinidad and Tobago,TTO,17397.9817601543
Tunisia,TUN,3317.4535932122
Turkey,TUR,9126.561345850141
Tuvalu,TUV,4059.0299956944395
Tanzania,TZA,1122.12181047515
Uganda,UGA,794.3410779171021
Ukraine,UKR,3659.0313122948705
Upper middle income,UMC,9036.76525522062
Uruguay,URY,16190.126957465
United States,USA,65297.517508274
Uzbekistan,UZB,1724.8411344137
St. Vincent and the Grenadines,VCT,7457.50950382514
Vietnam,VNM,2715.27603640721
Vanuatu,VUT,3115.3586204326098
World,WLD,11441.7328647669
Samoa,WSM,4324.01401840457
Kosovo,XKX,4417.5240622333
"Yemen, Rep.",YEM,774.3344898167211
South Africa,ZAF,6001.40081394888
Zambia,ZMB,1305.0632535054401
Zimbabwe,ZWE,1463.9859101805403
